Country,Organization,Type
CO,NAM,member
CO,OAS,member
CO,OPANAL,member
CO,PCA,member
CO,RG,member
CO,UN,member
CO,UNESCO,member
CO,UNHCR,member
CO,UNIDO,member
CO,UNU,member
CO,UPU,member
CO,WCL,member
CO,WFTU,member
CO,WHO,member
CO,WIPO,member
CO,WMO,member
CO,WToO,member
CO,WTrO,member
COCO,WMO,member
COM,ACCT,member
COM,ACP,member
COM,AfDB,regional member
COM,AL,member
COM,CCC,member
COM,ECA,member
COM,FAO,member
COM,FZ,member
COM,G-77,member
COM,IBRD,member
COM,ICAO,member
COM,IDA,Part II
COM,IDB,member
COM,IFAD,Category III
COM,IFC,member
COM,IFRCS,associate member
COM,ILO,member
COM,IMF,member
COM,Intelsat,nonsignatory user
COM,IOC,National Olympic Committee
COM,ITU,member
COM,NAM,member
COM,OAU,member
COM,OIC,member
COM,UN,member
COM,UNESCO,member
COM,UNIDO,member
COM,UPU,member
COM,WHO,member
COM,WMO,member
COOK,ACP,member
COOK,FAO,member
COOK,ICAO,member
COOK,ICRM,National Society
COOK,IFAD,Category III
COOK,IFRCS,member
COOK,IOC,National Olympic Committee
COOK,Sparteca,member
COOK,SPC,member
COOK,UNESCO,member
COOK,UPU,member
COOK,WHO,member
COOK,WMO,member
CR,AG,observer
CR,BCIE,member
CR,CACM,member
CR,ECLAC,member
CR,FAO,member
CR,G-77,member
CR,IADB,member
CR,IAEA,member
CR,IBRD,member
CR,ICAO,member
CR,ICFTU,member
CR,ICRM,National Society
CR,IDA,Part II
CR,IFAD,Category III
CR,IFC,member
CR,IFRCS,member
CR,ILO,member
CR,IMF,member
CR,IMO,member
CR,Intelsat,member
CR,Interpol,member
CR,IOC,National Olympic Committee
CR,IOM,member
CR,ITU,member
CR,LAES,member
CR,LAIA,observer
CR,NAM,observer
CR,OAS,member
CR,OPANAL,member
CR,UN,member
CR,UNESCO,member
CR,UNIDO,member
CR,UNU,member
CR,UPU,member
CR,WCL,member
CR,WFTU,member
CR,WHO,member
CR,WIPO,member
CR,WMO,member
CR,WTrO,member
CV,ACP,member
CV,AfDB,regional member
CV,CCC,member
CV,ECA,member
CV,ECOWAS,member
CV,FAO,member
CV,G-77,member
CV,IBRD,member
CV,ICAO,member
CV,ICFTU,member
CV,ICRM,National Society
CV,IDA,Part II
CV,IFAD,Category III
CV,IFC,member
CV,IFRCS,member
CV,ILO,member
CV,IMF,member
CV,IMO,member
CV,Intelsat,member
CV,Interpol,member
CV,IOC,National Olympic Committee
CV,IOM,observer
CV,ITU,member
CV,NAM,member
CV,OAU,member
CV,UN,member
CV,UNESCO,member
CV,UNIDO,member
CV,UPU,member
CV,WCL,member
CV,WHO,member
CV,WMO,member
CV,WTrO,applicant
CY,C,member
CY,CCC,member
CY,CE,member
CY,EBRD,member
CY,ECE,member
CY,EU,member
CY,FAO,member
CY,G-77,member
CY,IAEA,member
CY,IBRD,member
CY,ICAO,member
CY,ICC,member
CY,ICFTU,member
CY,IDA,Part II
CY,IFAD,Category III
CY,IFC,member
CY,IFRCS,associate member
CY,ILO,member
CY,IMF,member
CY,IMO,member
CY,Inmarsat,member
CY,Intelsat,member
CY,Interpol,member
CY,IOC,National Olympic Committee
CY,IOM,member
CY,ISO,member
CY,ITU,member
CY,NAM,member
CY,OAS,observer
CY,OSCE,member
CY,PCA,member
CY,UN,member
CY,UNESCO,member
CY,UNIDO,member
CY,UPU,member
CY,WCL,member
CY,WFTU,member
CY,WHO,member
CY,WIPO,member
CY,WMO,member
CY,WToO,member
CY,WTrO,member
CZ,ANC,member
CZ,BIS,member
CZ,CCC,member
CZ,CE,member
CZ,CEI,member
CZ,CERN,member
CZ,EBRD,member
CZ,ECE,member
CZ,EU,member
CZ,FAO,member
CZ,IAEA,member
CZ,IBRD,member
CZ,ICAO,member
CZ,ICFTU,member
CZ,ICRM,National Society
CZ,IDA,Part II
CZ,IFC,member
CZ,IFRCS,member
CZ,ILO,member
CZ,IMF,member
CZ,IMO,member
CZ,Inmarsat,member
CZ,Intelsat,member
CZ,Interpol,member
CZ,IOC,National Olympic Committee
CZ,IOM,observer
CZ,ISO,member
CZ,ITU,member
CZ,NSG,member
CZ,OECD,member
CZ,OSCE,member
CZ,PCA,member
CZ,PFP,member
CZ,UN,member
CZ,UNCRO,member
CZ,UNESCO,member
CZ,UNIDO,member
CZ,UNOMIG,member
CZ,UNOMIL,member
CZ,UNPROFOR,member
CZ,UPU,member
CZ,WEU,associate partner
CZ,WFTU,member
CZ,WHO,member
CZ,WIPO,member
CZ,WMO,member
CZ,WToO,member
CZ,WTrO,member
CZ,ZC,member
D,AfDB,nonregional member
D,AG,observer
D,ANC,member
D,AsDB,nonregional member
D,BDEAC,member
D,BIS,member
D,CBSS,member
D,CCC,member
D,CDB,nonregional member
D,CE,member
D,CERN,member
D,EBRD,member
D,ECE,member
D,EIB,member
D,EN,member
D,ESA,member
D,EU,member
D,FAO,member
D,G-10,member
D,G-5,member
D,G-7,member
D,G-8,member
D,IADB,member
D,IAEA,member
D,IBRD,member
D,ICAO,member
D,ICC,member
D,ICFTU,member
D,ICRM,National Society
D,IDA,Part I
D,IEA,member
D,IFAD,Category I
D,IFC,member
D,IFRCS,member
